id	account_name	biz	total	yxgm	yxpl	rkd	read_count_d	frequency_d	like_count_d	is_original	qr_code_url	brief_intro
MzAwNzM0NDgzMg==	娱乐圈扒姐	ylqbj2015	88.93	94.74	84.77	85.98	65193529.0	811	531955.0	528.0	http://mp.weixin.qq.com/mp/qrcode?scene=10000004&size=102&__biz=MzAwNzM0NDgzMg==&mid=2652411021&idx=1&sn=b0ba614c56f81bedb014561ad10046ce&send_time=	扒姐带你吐槽最火最搞最八卦的娱乐新闻，只有你想不到的，没有姐扒不到的。
MzA3NzA5MDMyMg==	亲子派	qinzipaidui	88.87	93.09	92.19	80.39	47688413.0	1459	225958.0	0.0	http://open.weixin.qq.com/qr/code/?username=qinzipaidui	百万妈妈关注亲子派，专注0-8岁孩子成长，每天一节亲子课，教你做个好妈妈！
MzI2OTA0NzY4NA==	学做一个好妈妈	hmmduwu	88.83	95.83	96.88	72.2	80244361.0	2115	64319.0	0.0	http://open.weixin.qq.com/qr/code/?username=hmmduwu	在这里与百万妈妈交流育儿经验，教你如何做一个好妈妈！98%的宝妈都关注了，你还在等什么，点击关注成为魅力妈妈
MjM5MTIwNTYwMg==	毒舌电影	dsmovie	88.79	94.14	80.57	90.44	58200582.0	582	1054716.0	532.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491291670&ver=1&signature=3PU3t8ulAry3NO0*4RwHtbwngHRqHZZK2SNtmuH0p6C09LmPBELcuV*f9-s6egHau8AkOkCVNo4F338UOEt630Jxqfj1BkHFvaymqYPHLKE=	坚持原创，只说真话——回复片名，看好电影
MzAwMDc5MzI3Mg==	孕妈学堂	schoolmum	88.62	92.95	98.78	73.14	46405850.0	2457	74292.0	1764.0	http://open.weixin.qq.com/qr/code/?username=schoolmum	努力为孕妈和宝宝服务，帮助女性解决孕前孕中，孕后36个月的各种问题。
MjM5NTIwODU3Mg==	育儿	tgz360	88.27	93.62	84.09	85.88	52774019.0	769	523958.0	0.0		关注我，在这里与百万妈妈交流育儿经验，教你如何做一个好妈妈！98%的宝妈都关注了，你还在等什么，点击关注成为优秀妈妈！
MzI2OTAwODA0Mg==	成为好妈妈	cwmama01	88.14	89.22	100.0	74.97	22881446.0	2706	98394.0	0.0		↑↑↑↑↑点击关注我.在这里与百万妈妈交流育儿经验.每天推送一期妈妈们关心的热点话题!一个好妈妈胜过100个名师！完全是免费订阅，请放心关注！
MjM5MjM0OTMxMA==	灵魂有香气的女子	lixiaoyilhyxqdnz	88.14	92.93	84.01	86.41	46242994.0	764	568924.0	54.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292936&ver=1&signature=Tx6MknfqaOv0UrEHtBNTJlcycd4UJ*GdZFJGU2ZlaeE*3273XG1OQzx8z*Tzd1IOZn7Svs57bydyMTb17Z3Z0LlGiGkTaVtkaGazRxbVd84=	成长比成功更重要，和我们一起关注自己、肯定自己、投资自己、活出自己，筱懿和妍妍为你准备有意思的女性原创文章，让我们成为彼此的好闺蜜.
MzA5MjEwODUzNw==	芭莎娱乐	bazaarstar	88.02	93.78	86.94	82.04	54350427.0	963	290965.0	534.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491291704&ver=1&signature=sOWhDdZ**aDqgSD0WJzi1MsABs4Ja6s5yeoRySuCKLFFGdZlGAhv9oFvDlGjn3MAqnsFuvXbMDPs65zIxA7jkMNAvASAO2EBKaMIyQbhemY=	随时随地分享娱乐正能量.
MzIzMjE3OTQ0Mw==	我走路带风	WsFl09	87.85	93.55	81.25	87.46	52074645.0	614	668194.0	300.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491293053&ver=1&signature=JXGxiMVcZ9AfVP4HiOZJhmieTa*0hq5nP2Phyiu0QJbKsOl4HIVgg-yClL90US-*cPKeF125R4l7KrDmKe08a9YqSBYbVbFzLUrZfTCpgKg=	依靠重度拖延症以及常人无法理解的三观成为了最年轻的滞销书作家.
MzIwNjIwMjMxOQ==	毒舌扒姨太	bbbbayi	87.81	94.23	85.04	82.7	59156247.0	829	322107.0	590.0	http://open.weixin.qq.com/qr/code/?username=bbbbayi	时尚小公举
MzA5Mzc3NTUwNw==	严肃八卦	yansubagua	87.38	92.89	77.6	90.39	45897546.0	460	1047424.0	51.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491293078&ver=1&signature=4vaHQnfOfaiiAs1BydfvdwPN4uDrlcGkfszvWJc04fUJe5bHq08FOrikSne95PNKm35iIFRf0j5pKXTErJX7d6QkekMtaAUdifoF9r5q7Hs=	擦亮眼睛谨防山寨，正版的严肃八卦没有认证，不信请到@萝贝贝 的微博扫置顶二维码.严肃一点，我们在八卦呐
MzI1NzAxNTI3Mw==	好妈妈必读	vipb55	87.17	94.36	90.15	75.39	60729056.0	1242	104942.0	0.0	http://open.weixin.qq.com/qr/code/?username=vipb55	在这里与百万妈妈交流育儿经验。每天推送一期妈妈们关心的热点话题！第一时间获取母婴团购情报。关注魅力妈妈，快乐每一天！
MzAxMTMyNTU3OA==	e学堂	ext100	86.95	91.87	86.48	81.4	37836002.0	929	263834.0	10.0		每日分享小学语文、作文、数学、英语等各科学习资料和家长教育心得。提供5万篇中学和小学作文素材，3万幅简笔画，48个国际英标标准发音表等，是中学生和小学生不可缺少的学习工具！
MzA5MjY1MjQxOA==	鲤伴	carpwith	86.65	93.22	79.93	85.33	48852799.0	553	481416.0	0.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292928&ver=1&signature=JdF5o*ld13V1ggJ8ENJy19bgQDVyH6u*R5W5rByp2vAfEKixw-55SmX6munLfOML0CYlDjYRy9Gla8dAav2*BAJpsz3AuH1ABR6Opn6*Ga4=	感谢这样不期而遇.
MjM5MTI0NjQ0MA==	咪蒙	mimeng7	86.13	89.37	69.13	99.16	23500235.0	235	4014564.0	232.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292955&ver=1&signature=WAEFpwc2qWYhGY5IXFdI-sg5ZUcbiHlfQY*pOXLBM*mgup8tN9DgFb1*2BfPw9-gmhYH5dpmGiRf5F7KttjCQ3wDbIDhjbmR9QMWlSm4EGE=	我是个女流氓，请不要欺负我.
MzIzODE4MjAwMQ==	郑小瘦	shoummm	86.02	92.06	85.75	78.9	39224105.0	877	179638.0	3.0	http://open.weixin.qq.com/qr/code/?username=shoummm	生活没有那么乏味，只要让我帮你调味！关注郑小瘦，不错过美好。
MzA4NTI0Mjg2Nw==	深八影视圈	realmovie520	86.02	92.58	77.63	86.38	43298507.0	461	566292.0	169.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491293004&ver=1&signature=mxyF**2NyOGlyqobciRob*4zjpkVuTFL-9OgqdHZuQFXzWj0p4cc9c-6uK2bEN-e9bEH5x3F8I3Cl3mR3SethS0xhDgmNhGEUJh1mhI*s68=	千万别因为名字像营销号错过我，这绝对是最有料最好看的原创深度八卦号
MjM5MDA4ODQ0MA==	编织人生	bianzhirenshengcom	85.82	90.66	85.84	79.87	30062368.0	883	208634.0	160.0	http://open.weixin.qq.com/qr/code/?username=bianzhirenshengcom	来自腾讯微博认证资料：编织人生官方微博。编织人生是国内最火的手工编织爱好者交流平台，涵盖了棒针钩针等手工编织内容及十字绣，布艺等DIY手工内容。&nbsp;@编织人生
MzI0NTA5ODQ2NQ==	亲子相册	cutebaby3333	85.71	91.57	83.74	80.5	35736538.0	748	229578.0	0.0		推动摇篮的手，就是推动世界的手。
MzA4MDE4OTYxNA==	关爱八卦成长协会	gossipmaker	85.64	94.24	81.23	79.5	59331717.0	613	196970.0	355.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292871&ver=1&signature=y15OEP*E1G3mlvzRfaPk6*rUFaFha96ZJWAC2cPPF-twNc9c36IhMKqpYiYJTVfFcoJf63C3-4zvmIEPIWl*LYq3HFbsVNP59qtKctPDpGs=	不加V!不加V!不加V啊啊啊啊!加V的都是山寨啊啊啊!节目里说了一万遍啊!实在不行扫二维码啊!
MzA5MzYzMDQzMA==	家长必读	czdkuaile	85.6	91.88	85.4	78.11	37914454.0	853	159182.0	82.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292887&ver=1&signature=xhQauR7lIqcRsa80sDza8D-pnOcwJHwA7KBX4hpuRlWNzyoNNYv3pHz3S6qmO4Z8Nb7SncWBqj7P4rKfszzDB*QIQ0OavbATZrrEchSTtBI=	世上没有不听话的孩子，只有不善沟通的家长，让孩子少走弯路，让家长少犯错误.《家长必读》只做孩子快乐成长的陪伴者.
MzA4MDYwNDQyNg==	贝贝网	beibeiclub	85.52	92.34	91.4	71.29	41357927.0	1371	55926.0	22.0	http://open.weixin.qq.com/qr/code/?username=beibeiclub	贝贝网是中国最大的母婴购物网站。在这里，你可以①参与专享活动拿好礼；②了解第一手优惠信息；③得到专业的育儿知识传授
MjM5NDE5OTM4MA==	辣妈帮	lamabang	85.33	89.75	91.76	73.49	25301393.0	1410	78415.0	40.0	http://open.weixin.qq.com/qr/code/?username=lamabang	辣妈帮，是女性必备的手机移动应用社交平台。结识与自己宝宝同龄、或有共同爱好的妈妈们,一起交流育儿心得，分享宝宝趣事。女人，你需要一个专属于自己的社交平台。
MzA5MTQ0NDIzMQ==	深夜发媸	shenyefachi	85.18	92.63	80.11	81.12	43703758.0	561	252580.0	77.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491293012&ver=1&signature=RHbu-Bv0kvcb-IcP5f5oQEgKhBtw0tfyxJmu1p76PvhxvcEo2FGy18JALVgLLpd46qFRO8KHPxfITZq-0HUjzo1KBfFu2Eqmg0NZ7HBrbJU=	一个不装逼的时尚号.
MzIzNDI1ODQyMg==	妈咪育儿手册	mamiccc	85.15	84.86	90.11	80.53	9996983.0	1238	230786.0	51.0	http://open.weixin.qq.com/qr/code/?username=mamiccc	妈妈们的育儿小贴士；分享最丰富实用的育儿知识；育儿资讯。让父母和孩子一起快乐健康成长。
MjM5NjI4MDU4NA==	爸妈营	bamaying	85.12	90.58	90.59	72.95	29586080.0	1286	72156.0	91.0		200万爸妈关注，500家亲子联盟，3年潜心整理，300个亲子专题，6000篇亲子文库。我们长期与哈佛大学教育专业研究人员合作，并提供：亲子教育、亲子游、游学、严选好物，帮你省心、省力、省钱！
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	41982803.0	672	49052.0	892.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	41982803.0	672	49052.0	679.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	42262834.0	702	47382.0	892.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	28099843.0	458	32201.0	892.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	28099843.0	458	32201.0	679.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	28099843.0	458	32201.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	56145794.0	916	64233.0	446.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	41982803.0	672	49052.0	446.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	56145794.0	916	64233.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	56145794.0	916	64233.0	679.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	42262834.0	702	47382.0	679.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	28099843.0	458	32201.0	446.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	41982803.0	672	49052.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	42262834.0	702	47382.0	446.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	84.83	93.95	86.3	72.19	42262834.0	702	47382.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	84.83	93.95	86.3	72.19	56145794.0	916	64233.0	892.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MjM5MDk1MDE4MQ==	武志红	wzhxlx	84.62	90.96	77.41	84.05	31819151.0	453	395896.0	166.0		武志红，中国最受欢迎的心理学家，用深度心理分析剖析生活中的各种现象。著有《为何家会伤人》等畅销书。现于北上广开办了心乐土·武志红心理咨询中心：北京010-51734266；上海021-62338366；广州020-83653360
MzIzNjQ2NTUzOQ==	娱八	yb5565	84.61	91.31	83.38	77.64	33999269.0	727	148172.0	0.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491293183&ver=1&signature=VleHvqKTbzriAVuoWGe0SuNblnTZ5OtWGf6sHXNF5oCLgEleQ2TaYJTsd9eM7C*oyJbbCV5-xxZlkpAjEf97Vsnl0HMrSDAF5Nyw2a*hYSg=	娱八对于八卦，我们是认真的.
MjM5NDAyNzA0MA==	教子有方	jiaoziyoufang	84.61	91.57	85.16	75.52	35720732.0	837	107107.0	99.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292904&ver=1&signature=AHOZdQYsIKf01jjiVNHfHFyDZz*O1w*NRcaEEL-4-aOMJl*7MZAcVHvdgiUxxCgL60kNEeplhWtc6e8g73kefS5lRXwEdaxWMAPct263w1w=	一个不成器的孩子，足以让你晚景惨淡.望子成龙，不如马上行动!
MzI1NTA0MzEwOQ==	做一位好妈妈	haomama23	84.61	93.2	90.77	67.92	48718170.0	1304	33370.0	0.0		关注我，在这里与百万妈妈交流育儿经验，教你如何做一个好妈妈！99%的宝妈都关注了，你还在等什么，点击关注成为优秀妈妈！
MzAxNDAyNTUyMA==	成长树	chengzhangshu9	83.92	91.85	79.65	78.48	37683946.0	541	168558.0	0.0		最受欢迎的育儿公众号，这里有一群懂教育、懂心理、懂孩子的宝爸宝妈，你所关心的育儿问题，这里都有答案！
MjM5MTk4OTMyMA==	成长必读	chzhbidu	83.77	87.86	83.88	78.64	17663876.0	756	172584.0	0.0		成长必读主分类为：孕育篇、早教篇、幼教篇、小学、中学、青年的成长教育。成长必读精选了养育、教育、爱情、婚姻、健康、生活百科等。
MzA4NjEyMjUzOA==	亲子共成长工程	qzgcz2002	83.77	86.27	84.94	79.54	13065510.0	822	198330.0	0.0		分享家庭教育智慧，破解孩子成长难题，传播健康权威理念，倡导“悦读”有品生活。百位教育大咖鼎力打造，中国父母的能量加油站！
MjM5OTY4OTIzMg==	潘幸知	sharpshow	83.65	90.31	84.18	74.97	28112785.0	774	98432.0	254.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292979&ver=1&signature=CUhO4XZvtzyW2tS-bDJ9wTPxqlgYpXQm6Dw8ze17kdV5rBp3PYhiIfz00ajd09qyKfD-1h7h8wfSgTB4v35p9OnsXvn37lIuw4bHxLNMkTs=	潘幸知，幸知在线女性心理成长平台CEO.情感私董会创始人.携手近千名华人心理咨询师，通过24小时贴身情感陪护与陌生闺蜜分享式社交，帮助女性提升恋爱和婚姻情商，实现情感自立.
MzAwMDI4NjY5OQ==	丁香妈妈	DingXiangMaMi	83.64	91.23	76.45	81.51	33464923.0	420	268323.0	373.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491291679&ver=1&signature=qxFr9JpyRj1M6JUJfBTsr6wUK7CNuvVOjStg-8WmyOd5bCrPZGgkuiNZDBF-l-rtAjk0BH0-gXPBFRsirLYfMnxsx*WYcZlFXQMcrLGioio=	丁香妈妈是丁香医生旗下的母婴科普平台.医学硕士二宝妈，每天分享科学靠谱的育儿知识.科学育儿，更是轻松育儿.
MzAxMjYyMTYwNQ==	小柚子童书	youzibooks	83.61	87.45	91.26	71.25	16340170.0	1356	55600.0	0.0	http://open.weixin.qq.com/qr/code/?username=youzibooks	每天分享有趣、有料、有爱的童书，周周免费赠好书；提供实用的育儿信息，高效互助的父母交流社区；权威情感育儿专家咨询栏目，分享教育方法；全国优质亲子活动发布专区；传播温馨的有声童书故事，邀请每个有爱的家长“为爱读吧”。欢迎/关注/分享/交流
MjM5NTMxNjI2MA==	娱乐圈头条	yulemeiquan	83.13	90.81	82.16	74.7	30890355.0	660	94397.0	4.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491293212&ver=1&signature=8ri42cV7i4TIl4eraUIpY3nnlkYbgXvywryD9pty-bOP1JJyqsaWC0YyXb9Hic5fUnTrDEB2JS7o-YvepJjkqof896WWJjtSBvfa0gjZesU=	坐能严肃聊八卦，卧能性感做逗比，看不完的明星头条，聊不够的圈姐八卦!深扒赵丽颖、黄晓明、范冰冰、井柏然、郑爽、唐嫣、杨幂、鹿晗、吴亦凡、angelbaby、刘亦菲、胡歌、王凯的趣事囧事秘事……还有更多呦!
MzA3Mzk0Njk5Mg==	幼圈儿	youquaner	82.9	84.6	87.87	75.85	9510240.0	1037	112595.0	0.0		您身边的育儿专家
MzI4NjEwNDMyNw==	宝宝相册	ibaby233	82.62	90.38	79.46	76.27	28476503.0	533	120019.0	1.0	http://mp.weixin.qq.com/mp/qrcode?scene=10000004&size=102&__biz=MzI4NjEwNDMyNw==&mid=2706018662&idx=1&sn=80afabafff0748912f287b2afbbe4e61&send_time=	最专业的育儿平台
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	82.61	92.46	82.94	70.21	28099843.0	458	32201.0	679.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	82.61	92.46	82.94	70.21	56145794.0	916	64233.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	82.61	92.46	82.94	70.21	28099843.0	458	32201.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	82.61	92.46	82.94	70.21	42262834.0	702	47382.0	679.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	82.61	92.46	82.94	70.21	28099843.0	458	32201.0	446.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	82.61	92.46	82.94	70.21	41982803.0	672	49052.0	679.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	82.61	92.46	82.94	70.21	41982803.0	672	49052.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	82.61	92.46	82.94	70.21	41982803.0	672	49052.0	892.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛的育学园	cuiyutao2015	82.61	92.46	82.94	70.21	42262834.0	702	47382.0	892.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
MzAxNzI0NDU1OQ==	崔玉涛育学园	cuiyutao2015	82.61	92.46	82.94	70.21	42262834.0	702	47382.0	659.0	http://open.weixin.qq.com/qr/code/?username=cuiyutao2015	崔玉涛唯一认证官方公众账号。致力于通过互动、分享、问答，全维度的信息传达，帮助更多的家庭了解健康、完善的育儿知识。
